source_file,line_number,original_link_markdown,removed_url,proposed_replacement
site-template/content/electrical/cost-to-install-recessed-lighting-in-fort-lauderdale-2026.md,170,[Cost to Install Smart Home Wiring in Florida 2026](https://floridahomecosts.com/electrical/cost-to-install-smart-home-wiring-florida-2026/),/electrical/cost-to-install-smart-home-wiring-florida-2026/,Cost to Install Smart Home Wiring in Florida 2026
site-template/content/electrical/cost-to-install-recessed-lighting-in-fort-lauderdale-2026.md,171,[Cost to Install Outdoor Lighting in Fort Lauderdale 2026](https://floridahomecosts.com/electrical/cost-to-install-outdoor-lighting-fort-lauderdale-2026/),/electrical/cost-to-install-outdoor-lighting-fort-lauderdale-2026/,Cost to Install Outdoor Lighting in Fort Lauderdale 2026
site-template/content/electrical/cost-to-rewire-house-in-florida-2026.md,172,[Cost to Install Surge Protectors Florida 2026](https://floridahomecosts.com/electrical/cost-to-install-surge-protectors-florida-2026/),/electrical/cost-to-install-surge-protectors-florida-2026/,Cost to Install Surge Protectors Florida 2026
site-template/content/exterior/cost-to-install-landscape-lighting-in-fort-lauderdale-2026.md,169,[Cost to Install Irrigation Systems in Fort Lauderdale 2026](https://floridahomecosts.com/exterior/cost-to-install-irrigation-systems-fort-lauderdale-2026/),/exterior/cost-to-install-irrigation-systems-fort-lauderdale-2026/,Cost to Install Irrigation Systems in Fort Lauderdale 2026
site-template/content/exterior/cost-to-repair-seawall-in-tampa-2026.md,163,[Cost to Install Flood Barriers in Tampa 2026](https://floridahomecosts.com/exterior/cost-to-install-flood-barriers-in-tampa-2026/),/exterior/cost-to-install-flood-barriers-in-tampa-2026/,Cost to Install Flood Barriers in Tampa 2026
site-template/content/exterior/cost-to-repair-seawall-in-tampa-2026.md,164,[Cost to Repair Dock Florida](https://floridahomecosts.com/exterior/cost-to-repair-dock-florida-2026/),/exterior/cost-to-repair-dock-florida-2026/,Cost to Repair Dock Florida
site-template/content/exterior/cost-to-repair-seawall-in-tampa-2026.md,165,[Cost to Mitigate Flood Risk in Tampa 2026](https://floridahomecosts.com/exterior/cost-to-mitigate-flood-risk-in-tampa-2026/),/exterior/cost-to-mitigate-flood-risk-in-tampa-2026/,Cost to Mitigate Flood Risk in Tampa 2026
site-template/content/hurricane-protection/cost-to-install-impact-windows-in-boca-raton-2026.md,168,[Cost to Install Impact Windows in Miami](/hurricane-protection/cost-to-install-impact-windows-miami-2026/),/hurricane-protection/cost-to-install-impact-windows-miami-2026/,Cost to Install Impact Windows in Miami
site-template/content/hurricane-protection/cost-to-install-impact-windows-in-davie-2026.md,167,[Cost to Install Impact Windows in Miami](/hurricane-protection/cost-to-install-impact-windows-miami-2026/),/hurricane-protection/cost-to-install-impact-windows-miami-2026/,Cost to Install Impact Windows in Miami
site-template/content/hvac/cost-to-replace-ac-compressor-in-miami-2026-2026.md,174,[Cost to Install Impact Windows in Miami](/hurricane-protection/cost-to-install-impact-windows-miami-2026/),/hurricane-protection/cost-to-install-impact-windows-miami-2026/,Cost to Install Impact Windows in Miami
