md_path,expected_url,http_status,draft_flag,title
site-template/content/hurricane-protection/cost-to-install-hurricane-impact-windows-miami-2026.md,/hurricane-protection/cost-to-install-hurricane-impact-windows-miami-2026/,404,False,Cost to Install Hurricane Impact Windows in Miami 2026
site-template/content/hvac/cost-of-duct-cleaning-in-fort-lauderdale-2026-2026.md,/hvac/cost-of-duct-cleaning-in-fort-lauderdale-2026-2026/,404,False,Cost Of Duct Cleaning In Fort Lauderdale 2026
site-template/content/hvac/cost-of-duct-cleaning-in-miami-2026-2026.md,/hvac/cost-of-duct-cleaning-in-miami-2026-2026/,404,False,Cost Of Duct Cleaning In Miami 2026
site-template/content/hvac/cost-of-duct-cleaning-in-tampa-2026-2026.md,/hvac/cost-of-duct-cleaning-in-tampa-2026-2026/,404,False,Cost Of Duct Cleaning In Tampa 2026
site-template/content/hvac/cost-to-clean-ac-coils-in-fort-lauderdale-2026-2026.md,/hvac/cost-to-clean-ac-coils-in-fort-lauderdale-2026-2026/,404,False,Cost To Clean Ac Coils In Fort Lauderdale 2026
site-template/content/hvac/cost-to-clean-ac-coils-in-miami-2026-2026.md,/hvac/cost-to-clean-ac-coils-in-miami-2026-2026/,404,False,Cost To Clean Ac Coils In Miami 2026
site-template/content/hvac/cost-to-clean-ac-coils-in-tampa-2026-2026.md,/hvac/cost-to-clean-ac-coils-in-tampa-2026-2026/,404,False,Cost To Clean Ac Coils In Tampa 2026
site-template/content/hvac/cost-to-replace-ac-compressor-in-fort-lauderdale-2026-2026.md,/hvac/cost-to-replace-ac-compressor-in-fort-lauderdale-2026-2026/,404,False,Cost To Replace Ac Compressor In Fort Lauderdale 2026
site-template/content/hvac/cost-to-replace-ac-compressor-in-miami-2026-2026.md,/hvac/cost-to-replace-ac-compressor-in-miami-2026-2026/,404,False,Cost To Replace Ac Compressor In Miami 2026
site-template/content/hvac/cost-to-replace-ac-compressor-in-tampa-2026-2026.md,/hvac/cost-to-replace-ac-compressor-in-tampa-2026-2026/,404,False,Cost To Replace Ac Compressor In Tampa 2026
site-template/content/hvac/cost-to-replace-hvac-system-in-fort-lauderdale-2026-2026.md,/hvac/cost-to-replace-hvac-system-in-fort-lauderdale-2026-2026/,404,False,Cost To Replace Hvac System In Fort Lauderdale 2026
site-template/content/hvac/cost-to-replace-hvac-system-in-tampa-2026-2026.md,/hvac/cost-to-replace-hvac-system-in-tampa-2026-2026/,404,False,Cost To Replace Hvac System In Tampa 2026
site-template/content/hvac/cost-to-replace-thermostat-in-fort-lauderdale-2026-2026.md,/hvac/cost-to-replace-thermostat-in-fort-lauderdale-2026-2026/,404,False,Cost To Replace Thermostat In Fort Lauderdale 2026
site-template/content/hvac/cost-to-replace-thermostat-in-miami-2026-2026.md,/hvac/cost-to-replace-thermostat-in-miami-2026-2026/,404,False,Cost To Replace Thermostat In Miami 2026
site-template/content/hvac/cost-to-replace-thermostat-in-tampa-2026-2026.md,/hvac/cost-to-replace-thermostat-in-tampa-2026-2026/,404,False,Cost To Replace Thermostat In Tampa 2026
site-template/content/interior/cost-to-remodel-kitchen-jacksonville-2026.md,/interior/cost-to-remodel-kitchen-jacksonville-2026/,404,False,Cost to Remodel Kitchen in Jacksonville 2026
site-template/content/major-systems/cost-to-install-solar-panels-tampa-2026.md,/major-systems/cost-to-install-solar-panels-tampa-2026/,404,False,Cost to Install Solar Panels in Tampa 2026
site-template/content/pool/cost-to-resurface-pool-in-boca-raton-2026-2026.md,/pool/cost-to-resurface-pool-in-boca-raton-2026-2026/,404,False,Cost To Resurface Pool In Boca Raton 2026
site-template/content/pool/cost-to-resurface-pool-in-cape-coral-2026-2026.md,/pool/cost-to-resurface-pool-in-cape-coral-2026-2026/,404,False,Cost To Resurface Pool In Cape Coral 2026
site-template/content/pool/cost-to-resurface-pool-in-coral-gables-2026-2026.md,/pool/cost-to-resurface-pool-in-coral-gables-2026-2026/,404,False,Cost To Resurface Pool In Coral Gables 2026
site-template/content/pool/cost-to-resurface-pool-in-davie-2026-2026.md,/pool/cost-to-resurface-pool-in-davie-2026-2026/,404,False,Cost To Resurface Pool In Davie 2026
site-template/content/pool/cost-to-resurface-pool-in-naples-2026-2026.md,/pool/cost-to-resurface-pool-in-naples-2026-2026/,404,False,Cost To Resurface Pool In Naples 2026
