url,bucket,action,target_url,confidence,notes
https://floridahomecosts.com/hvac/cost-to-replace-ac-unit-tampa-2026/,REMOVE,REMOVE_FROM_SITEMAP,,MEDIUM,"no confident topic match (target_tokens={'ac', 'unit'} ⊄ cand_tokens={'ac'}); city=tampa closest=/hvac/cost-to-replace-ac-in-tampa-2026/"
https://floridahomecosts.com/energy-efficiency/tampa-energy-efficiency-rebates-2026/,REMOVE,REMOVE_FROM_SITEMAP,,HIGH,category /energy-efficiency/ has no topical content
https://floridahomecosts.com/pool/cost-to-install-pool-safety-fence-cape-coral-2026/,REMOVE,REMOVE_FROM_SITEMAP,,MEDIUM,"no confident topic match (j=0.33; sim=0.73; target_tokens={'safety', 'fence', 'pool'} ⊄ cand_tokens={'pool'}); city=cape-coral closest=/pool/cost-to-resurface-pool-in-cape-coral-2026/"
https://floridahomecosts.com/pool/cost-to-replace-pump-florida-2026/,TOPIC_MATCH,REDIRECT,https://floridahomecosts.com/pool/cost-to-replace-pool-pump-in-florida-2026/,MEDIUM,topic_jac=0.50 slug_sim=0.89 city=florida target_topic=pump cand_topic=pool/pump
https://floridahomecosts.com/roofing/cost-to-repair-flat-roof-in-coral-gables-2026/,SLUG_VARIANT,REDIRECT,https://floridahomecosts.com/roofing/cost-to-replace-flat-roof-in-coral-gables-2026/,MEDIUM,same-section variant: verb repair→replace
https://floridahomecosts.com/interior/cost-to-install-kitchen-cabinets-miami-2026/,TOPIC_MATCH,REDIRECT,https://floridahomecosts.com/interior/cost-to-replace-kitchen-cabinets-in-miami-2026/,MEDIUM,topic_jac=1.00 slug_sim=0.83 city=miami target_topic=kitchen/cabinets cand_topic=kitchen/cabinets
https://floridahomecosts.com/hurricane-protection/cost-to-install-impact-windows-miami-2026/,REMOVE,REMOVE_FROM_SITEMAP,,MEDIUM,target would qualify but not live: /hurricane-protection/cost-to-install-hurricane-impact-windows-miami-2026/ (.md may exist locally but Hugo isn't serving)
https://floridahomecosts.com/interior/cost-to-refinish-cabinets-florida-2026/,REMOVE,REMOVE_FROM_SITEMAP,,HIGH,"user-confirmed: refinish ≠ replace (different service, different cost band)"
https://floridahomecosts.com/pool/cost-to-install-in-ground-pool-naples-2026/,REMOVE,REMOVE_FROM_SITEMAP,,MEDIUM,"no confident topic match (sim=0.68; target_tokens={'ground', 'pool'} ⊄ cand_tokens={'pool'}); city=naples closest=/pool/cost-to-resurface-pool-in-naples-2026/"
https://floridahomecosts.com/major-systems/cost-to-repair-septic-system-florida-2026/,REMOVE,REMOVE_FROM_SITEMAP,,MEDIUM,"no confident topic match (j=0.33; target_tokens={'system', 'septic'} ⊄ cand_tokens={'tank', 'septic'}); city=florida closest=/major-systems/cost-to-replace-septic-tank-in-florida-2026/"
https://floridahomecosts.com/foundation/cost-to-slab-repair-miami-2026/,CATEGORY_CONSOLIDATION,REDIRECT,https://floridahomecosts.com/major-systems/cost-to-repair-foundation-in-miami-2026/,MEDIUM,user-confirmed: slab repair = foundation repair subcategory in FL context
https://floridahomecosts.com/major-systems/cost-to-replace-hvac-system-florida-2026/,REMOVE,REMOVE_FROM_SITEMAP,,HIGH,override target dead: /hvac/cost-to-replace-hvac-system-in-florida-2026/
